ridge_PTM,ridge_IPTM,rf_PTM,rf_IPTM,mlp_PTM,mlp_IPTM
0.7416914,0.23189053,0.7401799999999998,0.2363028333333333,0.7353897,0.22109899
0.72810835,0.1950332,0.7336100000000001,0.2099599999999998,0.7375829,0.20461993
0.7162001,0.18780172,0.7195499999999995,0.1729246666666668,0.7293403,0.2367121
0.7406403,0.29740834,0.753636333333334,0.3650990952380954,0.736493,0.3210197
0.7100562,0.6904353,0.710999999999999,0.6850000000000009,0.71656936,0.7134982
0.70616215,0.6697622,0.7020499999999997,0.6661100000000001,0.70833826,0.69036317
0.7273073,0.18640026,0.7466863333333333,0.2938071428571429,0.74538946,0.23878527
0.70688546,0.66263866,0.7139999999999991,0.6929999999999992,0.7102823,0.69481224
0.6932458,0.62776995,0.6871300000000007,0.6214099999999995,0.69614077,0.6543459
0.73377955,0.20953861,0.7410799999999996,0.2289003333333333,0.73063976,0.20674628
0.73332405,0.1883206,0.7264600000000001,0.1741341666666665,0.7380139,0.18886802
0.7411488,0.23285097,0.7327524999999995,0.19172,0.7419305,0.24562931
0.73003894,0.18316352,0.7240779999999991,0.1455991666666665,0.7357352,0.192687
0.74530244,0.25972915,0.7445069999999998,0.2539546666666669,0.74415624,0.24431616
0.7292261,0.18785301,0.7256233333333334,0.1654846666666666,0.73224854,0.19595346
0.69179857,0.63098514,0.6843700000000003,0.6326599999999999,0.7006845,0.6858655
